ImageId,EncodedPixels
432f367a4c5b5674de2e2977744d10289a064e5704b21af6607b4975be47c580,156374 4 156891 9 157411 11 157932 12 158453 12 158973 12 159492 13 160012 13 160532 13 161051 14 161572 13 162092 13 162612 12 163134 9 163656 6
432f367a4c5b5674de2e2977744d10289a064e5704b21af6607b4975be47c580,15855 2 16375 2 16894 3 17414 3 17933 4 18453 4 18972 5 19492 5 20012 5 20532 5 21053 4 21573 4 22094 3 22615 2
432f367a4c5b5674de2e2977744d10289a064e5704b21af6607b4975be47c580,142883 1 143403 4 143922 20 144442 21 144962 22 145482 22 146003 22 146523 22 147044 21 147565 20 148085 20 148606 18 149127 16 149649 12 150171 7
432f367a4c5b5674de2e2977744d10289a064e5704b21af6607b4975be47c580,48547 5 49067 6 49587 8 50107 8 50627 10 51146 11 51661 17 52179 19 52699 18 53219 18 53739 18 54259 18 54779 18 55299 18 55820 17 56341 1 56343 14 56864 12 57385 11 57904 11 58422 13 58941 13 59461 11
432f367a4c5b5674de2e2977744d10289a064e5704b21af6607b4975be47c580,56 6 71 6 522 1 576 8 591 6 1042 1 1096 6 1111 7 1561 2 1616 12 1630 8 2081 2 2136 10 2147 1 2149 9 2159 2 2601 2 2657 7 2668 10 2679 2 3121 2 3177 9 3187 11 3199 3 3641 2 3698 24 4161 3 4219 19 4681 4 4742 17 5201 4 5263 15 5721 4 5787 11 6241 4 6309 9 6761 4 6831 8 7281 3 7352 12 7386 6 7801 2 7873 12 7907 7 8321 3 8394 14 8428 6 8841 4 8916 19 8948 7 9361 4 9437 18 9467 8 9881 5 9959 16 9988 7 10401 5 10479 16 10507 2 10511 4 10921 6 11001 14 11028 7 11441 7 11521 14 11551 4 11961 8 12015 5 12042 13 12070 7 12481 9 12536 5 12562 14 12592 5 13001 11 13027 6 13048 5 13056 6 13082 14 13112 6 13521 12 13545 10 13567 6 13576 6 13598 19 13633 6 14041 13 14064 12 14085 10 14097 6 14115 22 14153 6 14561 13 14583 13 14603 11 14617 10 14633 25 14673 5 15081 13 15102 15 15122 9 15138 40 15192 6 15601 13 15622 15 15640 11 15658 42 15712 5 16121 13 16141 30 16179 42 16231 5 16641 13 16661 30 16700 43 16749 6 17161 13 17180 31 17220 44 17267 7 17681 14 17698 35 17740 16 17760 33 18201 53 18260 16 18280 34 18721 54 18780 16 18800 34 19241 56 19300 15 19319 34 19761 112 20281 26 20308 85 20801 20 20824 2 20832 14 20849 11 20861 52 21322 17 21353 13 21367 13 21381 52 21843 14 21874 11 21889 39 21930 25 22364 12 22394 12 22408 22 22432 3 22439 9 22451 25 22885 9 22915 16 22932 16 22959 10 22977 21 23006 3 23405 8 23436 15 23452 12 23481 9 23491 2 23502 1 23504 1 23506 15 23522 7 23925 6 23956 15 23973 9 24001 12 24026 23 24446 5 24477 24 24523 11 24547 22 24965 5 24998 22 25047 7 25061 2 25068 21 25485 6 25518 22 25568 6 25581 2 25588 14 25605 4 26003 7 26039 21 26088 7 26100 6 26108 10 26126 5 26523 8 26559 21 26608 7 26620 7 26628 10 26647 1 26649 2 27042 9 27079 21 27128 7 27140 18 27169 3 27562 9 27599 21 27649 7 27660 18 27689 3 28082 9 28120 20 28169 7 28181 17 28209 4 28603 7 28639 21 28689 8 28701 17 28729 4 29123 6 29159 21 29209 9 29223 1 29225 14 29249 4 29643 6 29679 21 29710 3 29729 9 29741 17 29769 3 30167 2 30199 21 30229 4 30249 9 30262 17 30289 2 30719 22 30748 5 30769 9 30782 17 30809 2 31238 24 31268 6 31289 9 31303 17 31758 8 31770 13 31787 6 31809 9 31823 17 32260 4 32277 6 32297 7 32306 7 32329 9 32344 21 32780 5 32796 6 32818 15 32844 14 32859 1 32866 22 33299 11 33312 7 33339 13 33363 17 33386 17 33819 19 33860 12 33883 17 33906 17 34322 2 34337 5 34344 13 34380 11 34402 19 34426 14 34842 3 34856 9 34866 11 34901 10 34922 18 34941 20 35361 5 35377 9 35387 10 35421 10 35442 37 35881 5 35897 9 35907 10 35941 10 35962 16 35979 1 35981 17 36401 8 36419 7 36427 10 36461 9 36482 35 36921 9 36940 6 36947 10 36981 10 37001 34 37441 11 37460 5 37466 11 37500 11 37520 30 37961 12 37979 19 38020 11 38038 23 38481 13 38499 20 38539 42 39002 14 39017 22 39058 42 39529 32 39577 40 40050 32 40096 41 40574 30 40614 41 41095 33 41131 41 41618 22 41645 46 42140 12 42153 6 42166 12 42182 35 42687 10 42704 36 43208 9 43225 17 43246 16 43729 7 43746 14 43765 19 44249 7 44267 14 44285 20 44769 7 44788 12 44806 21 45289 7 45309 12 45326 22 45810 5 45829 12 45845 25 45876 1 46330 5 46349 12 46365 27 46395 4 46850 4 46870 11 46885 35 47370 3 47390 12 47403 37 47910 7 47919 5 47932 28 48429 8 48438 6 48445 3 48451 29 48949 8 48958 8 48967 1 48969 31 49447 5 49468 8 49478 5 49484 35 49960 12 49987 10 49998 10 50009 29 50479 13 50506 11 50518 1 50520 7 50543 13 51001 11 51025 22 51065 8 51521 12 51544 21 52042 11 52063 18 52082 1 52562 11 52582 20 53082 11 53101 21 53602 12 53619 24 54122 13 54136 27 54641 31 54678 6 55161 29 55202 2 55680 29 55723 1 56199 29 56718 30 57237 34 57756 34 58276 34 58314 5 58324 2 58798 32 58834 6 58844 3 59322 28 59354 7 59364 4 59844 26 59875 8 59884 5 60366 24 60397 11 60887 22 60918 7 60926 1 61408 22 61441 4 61446 1 61928 12 61941 2 61944 6 61963 2 61966 4 62448 14 62466 6 62486 4 62967 15 62986 7 63006 4 63487 15 63508 6 63526 4 64007 16 64028 8 64045 4 64526 16 64549 8 64565 1 64567 1 65038 3 65046 16 65070 11 65085 1 65555 6 65567 15 65591 15 66074 8 66087 16 66113 11 66591 12 66607 7 66615 6 66638 6 67110 14 67127 3 67135 8 67147 2 67159 4 67628 42 68145 45 68663 46 69183 45 69694 4 69703 44 70214 4 70223 18 70243 22 70735 4 70743 17 70763 21 71255 6 71263 16 71283 20 71778 1 71780 18 71803 21 72298 3 72302 16 72322 22 72821 17 72841 24 73340 18 73360 26 73859 17 73877 1 73879 7 73894 13 74378 27 74415 13 74432 5 74438 1 74441 2 74899 24 74939 10 74950 1 74952 11 75419 24 75460 12 75473 1 75475 9 75940 22 75981 24 76461 21 76502 11 76515 11 76982 20 77023 10 77034 12 77503 20 77544 23 78024 19 78065 22 78545 19 78585 1 78587 20 79065 19 79105 1 79109 1 79114 13 79586 19 79625 2 79629 1 79634 13 80106 18 80144 6 80151 1 80156 10 80626 16 80664 8 80675 11 81146 13 81183 10 81197 8 81666 13 81702 13 81716 8 82186 11 82217 28 82705 12 82736 28 83225 11 83256 28 83745 10 83777 28 84264 11 84297 28 84783 11 84817 28 85303 10 85337 29 85801 4 85822 11 85857 28 86321 6 86341 12 86376 29 86841 9 86859 15 86895 20 86917 8 87361 33 87413 21 87438 6 87881 34 87931 23 87960 2 88401 36 88450 24 88921 37 88968 25 89441 39 89486 26 89961 70 90481 70 91001 24 91026 27 91058 14 91522 21 91552 19 91584 8 92042 21 92073 17 92105 8 92563 21 92593 16 92626 7 93083 21 93114 15 93147 6 93601 27 93634 14 93668 6 94121 29 94151 17 94188 6 94641 47 94709 6 95161 47 95230 5 95681 47 95751 5 96201 47 96271 5 96721 25 96751 16 96791 5 97241 22 97273 14 97311 5 97317 6 97761 20 97794 14 97813 4 97831 12 98281 18 98314 24 98350 14 98801 17 98835 7 98843 15 98869 14 99321 16 99356 9 99366 13 99389 14 99841 16 99876 8 99888 12 99907 16 100361 16 100396 9 100409 13 100427 16 100881 16 100916 9 100931 26 101401 16 101436 11 101453 22 101921 16 101955 13 101973 10 101985 9 102441 16 102473 15 102494 8 102509 4 102961 17 102992 17 103014 7 103031 1 103481 19 103511 18 103534 6 104001 20 104029 20 104055 3 104521 11 104537 7 104547 22 104575 3 105041 7 105058 30 105095 3 105150 6 105561 5 105579 29 105614 5 105668 10 106099 29 106131 8 106187 12 106619 28 106651 9 106706 14 107139 27 107171 9 107225 16 107659 26 107691 10 107745 16 108179 25 108210 11 108264 18 108699 24 108728 14 108783 19 109218 24 109246 18 109302 20 109738 23 109766 19 109801 1 109822 20 110257 23 110285 20 110320 4 110329 4 110341 20 110776 23 110805 20 110839 17 110861 19 111295 10 111310 9 111326 19 111358 39 111812 12 111834 3 111846 19 111879 35 112329 14 112366 19 112400 32 112850 7 112886 20 112922 29 113371 2 113374 1 113408 18 113448 23 113930 17 113970 20 114451 16 114494 16 114972 16 115014 15 115492 16 115520 4 115535 12 116013 16 116031 3 116041 5 116056 9 116533 15 116550 4 116561 6 116576 5 117054 20 117082 7 117094 7 117575 11 117588 6 117603 19 118096 9 118108 6 118125 18 118628 7 118645 18 119148 7 119165 19 119668 13 119684 20 120188 35 120708 15 120725 18 121228 14 121248 14 121749 12 121769 12 122269 11 122290 9 122790 8 122811 5 123310 7 123832 3
432f367a4c5b5674de2e2977744d10289a064e5704b21af6607b4975be47c580,26219 5 26738 12 27258 15 27778 19 28297 22 28817 23 29336 25 29856 25 30375 26 30894 27 31413 28 31932 7 31940 20 32452 6 32463 17 32971 7 32986 13 33490 7 33510 8 34010 7 34033 2 34529 8 35048 9 35060 3 35568 15 36088 15 36607 16 37127 16 37647 15 38167 15 38688 14 39208 14 39729 13 40249 13 40770 12 41290 13 41811 12 42331 12 42852 11 43373 10 43893 9 44417 3
432f367a4c5b5674de2e2977744d10289a064e5704b21af6607b4975be47c580,156351 1 156867 9 157386 10 157906 11 158425 12 158946 10 159466 9 159988 5
432f367a4c5b5674de2e2977744d10289a064e5704b21af6607b4975be47c580,59379 2 59392 4 59897 9 59909 8 60416 22 60935 23 61455 23 61975 23 62495 22 63016 21 63536 20 64057 19 64579 6 64590 4
432f367a4c5b5674de2e2977744d10289a064e5704b21af6607b4975be47c580,138117 8 138632 17 139150 21 139669 22 140188 24 140708 24 141228 24 141749 23 142269 23 142790 21 143311 20 143831 19 144352 16 144874 11
432f367a4c5b5674de2e2977744d10289a064e5704b21af6607b4975be47c580,36282 7 36800 10 37319 13 37838 15 38358 15 38877 17 39396 18 39916 18 40436 18 40955 19 41475 19 41994 19 42514 19 43031 22 43550 22 44070 3 44074 18 44591 2 44594 18 45112 1 45114 17 45635 16 46155 15 46676 14 47196 14 47717 12 48238 9 48759 7 49280 5
