iter	Logloss
0	0.673057678
1	0.6568277986
2	0.6433412425
3	0.6257149366
4	0.6160957906
5	0.6048337413
6	0.5952766318
7	0.5877786724
8	0.5783896945
9	0.5707806289
10	0.5639363298
11	0.5581551223
12	0.551419762
13	0.5459875189
14	0.5408697429
15	0.5320867479
16	0.5237782588
17	0.5163994127
18	0.5093239948
19	0.5059237031
20	0.4998436713
21	0.4941332907
22	0.4900603759
23	0.4870205818
24	0.4812275266
25	0.4784917172
26	0.4761855871
27	0.4714283297
28	0.4676463063
29	0.4633466418
30	0.4604952485
31	0.4566665049
32	0.4548370573
33	0.4531273193
34	0.4507982717
35	0.4488378466
36	0.444873376
37	0.4413752113
38	0.4396336995
39	0.4367723939
40	0.4332261357
41	0.4310006232
42	0.4284575871
43	0.4270722498
44	0.4251025888
45	0.4225086357
46	0.4196346189
47	0.41761137
48	0.4162007514
49	0.4145443609
50	0.4127677612
51	0.4111416964
52	0.4097510337
53	0.4076437661
54	0.4054943209
55	0.4039142927
56	0.4013716022
57	0.3996765012
58	0.3973688837
59	0.3960109269
60	0.393661152
61	0.3924192026
62	0.3912649897
63	0.3896414201
64	0.387854987
65	0.3863715945
66	0.384871949
67	0.3827960828
68	0.3813603013
69	0.3792860956
70	0.3775045583
71	0.3753047535
72	0.3735679411
73	0.3715907035
74	0.3689607252
75	0.3662994272
76	0.365025692
77	0.3636162718
78	0.3628097774
79	0.3617158949
80	0.3593787841
81	0.3581113583
82	0.3569190319
83	0.3558506822
84	0.3544913791
85	0.3531170226
86	0.351347158
87	0.3500213334
88	0.3478677996
89	0.3469654054
90	0.3451496468
91	0.3432514699
92	0.3414418961
93	0.3400009038
94	0.3386565791
95	0.3366536774
96	0.3353538003
97	0.3341096584
98	0.3329673576
99	0.3319554743
100	0.329403501
101	0.3284889943
102	0.3265430799
103	0.3248896551
104	0.3241495163
105	0.3231972701
106	0.3220319611
107	0.3200158062
108	0.3195106428
109	0.3186030639
110	0.3176290816
111	0.3164000131
112	0.3148417902
113	0.3133726001
114	0.3121144938
115	0.3117234647
116	0.3107114973
117	0.309267666
118	0.3082322134
119	0.3068962423
120	0.3065412854
121	0.3051668332
122	0.3043644106
123	0.3036271473
124	0.3026601277
125	0.3020078638
126	0.300854991
127	0.2992634088
128	0.2976105765
129	0.2969588216
130	0.2965000444
131	0.2953083234
132	0.2942147478
133	0.2932298261
134	0.2923672697
135	0.291355512
136	0.2892172495
137	0.2871125522
138	0.286036831
139	0.2845817927
140	0.2834075017
141	0.2823201618
142	0.2820644643
143	0.2807583263
144	0.2801120031
145	0.2787589289
146	0.2777521187
147	0.2761310015
148	0.2749414671
149	0.2736975839
150	0.2727324917
151	0.2720433051
152	0.2709909395
153	0.2699539211
154	0.269056017
155	0.2686670884
156	0.2674443651
157	0.2667188698
158	0.2657419958
159	0.2644072785
160	0.2632645137
161	0.2621769252
162	0.2614131004
163	0.2610290779
164	0.2602642797
165	0.2593881293
166	0.2580140636
167	0.2573194025
168	0.2567233097
169	0.2557269484
170	0.2542264936
171	0.2528934861
172	0.2522523196
173	0.2514077888
174	0.2503051522
175	0.2495926916
176	0.2486534098
177	0.2480994983
178	0.2471213454
179	0.2459239845
180	0.244300568
181	0.2440202878
182	0.2429856897
183	0.2417811501
184	0.240952703
185	0.2399917154
186	0.2389992608
187	0.2381742937
188	0.2370251945
189	0.2351889575
190	0.2344377965
191	0.2336598299
192	0.2326430979
193	0.2313942751
194	0.2297989606
195	0.228035776
196	0.2270478838
197	0.2257975984
198	0.2247551187
199	0.2240438975
200	0.2232501993
201	0.2221472397
202	0.22126971
203	0.2198238697
204	0.2186766456
205	0.2176197259
206	0.2158431195
207	0.2148625217
