iter	Passed	Remaining
0	121	121693
1	192	96269
2	264	88066
3	334	83212
4	403	80381
5	474	78664
6	545	77334
7	614	76229
8	686	75582
9	759	75143
10	828	74527
11	899	74069
12	970	73688
13	1040	73301
14	1110	72899
15	1179	72524
16	1249	72258
17	1319	71986
18	1390	71803
19	1460	71588
20	1530	71352
21	1601	71191
22	1674	71139
23	1744	70925
24	1814	70774
25	1886	70655
26	1955	70477
27	2026	70332
28	2096	70209
29	2164	69975
30	2233	69814
31	2304	69715
32	2373	69550
33	2445	69468
34	2515	69355
35	2584	69210
36	2656	69138
37	2729	69098
38	2800	69006
39	2872	68930
40	2942	68831
41	3012	68714
42	3083	68619
43	3153	68517
44	3223	68418
45	3297	68382
46	3368	68296
47	3439	68217
48	3515	68220
49	3587	68168
50	3658	68080
51	3730	68009
52	3800	67910
53	3873	67852
54	3943	67762
55	4014	67668
56	4087	67629
57	4159	67557
58	4237	67576
59	4307	67476
60	4378	67395
61	4450	67324
62	4524	67289
63	4594	67198
64	4665	67111
65	4735	67014
66	4806	66928
67	4878	66865
68	4950	66800
69	5022	66721
70	5093	66650
71	5168	66619
72	5240	66550
73	5313	66488
74	5385	66423
75	5457	66347
76	5530	66296
77	5602	66223
78	5672	66126
79	5741	66028
80	5814	65969
81	5888	65920
82	5958	65828
83	6030	65759
84	6101	65683
85	6172	65598
86	6242	65511
87	6312	65419
88	6385	65363
89	6455	65272
90	6526	65197
91	6600	65141
92	6672	65077
93	6742	64990
94	6813	64909
95	6886	64845
96	6955	64754
97	7027	64679
98	7099	64610
99	7170	64538
100	7243	64471
101	7317	64420
102	7390	64360
103	7464	64310
104	7536	64239
105	7610	64182
106	7684	64131
107	7758	64076
108	7826	63979
109	7899	63912
110	7971	63845
111	8046	63796
112	8120	63739
113	8195	63692
114	8268	63630
115	8337	63540
116	8408	63460
117	8482	63400
118	8558	63358
119	8639	63356
120	8714	63303
121	8784	63220
122	8855	63142
123	8926	63063
124	8998	62991
125	9042	62721
126	9113	62646
127	9185	62579
128	9257	62505
129	9326	62418
130	9395	62326
131	9466	62248
132	9537	62170
133	9607	62088
134	9678	62014
135	9749	61938
136	9820	61862
137	9893	61797
138	9962	61711
139	10034	61640
140	10104	61558
141	10177	61493
142	10245	61398
143	10317	61334
144	10386	61247
145	10458	61172
146	10530	61103
147	10616	61115
148	10703	61131
149	10785	61115
150	10860	61063
151	10930	60980
152	11000	60897
153	11081	60877
154	11165	60869
155	11243	60828
156	11317	60769
157	11391	60704
158	11462	60630
159	11546	60618
160	11625	60581
161	11699	60517
162	11769	60433
163	11839	60353
164	11910	60276
165	11981	60196
166	12053	60125
167	12124	60046
168	12194	59964
169	12265	59883
170	12336	59808
171	12416	59771
172	12505	59778
173	12595	59792
174	12689	59819
175	12767	59775
176	12841	59709
177	12912	59630
178	12985	59557
179	13057	59483
180	13129	59407
181	13197	59316
182	13268	59235
183	13339	59159
184	13410	59077
185	13481	58997
186	13552	58921
187	13625	58851
188	13710	58833
189	13796	58817
190	13882	58801
191	13967	58778
192	14045	58727
193	14117	58652
194	14191	58583
195	14277	58566
196	14362	58541
197	14439	58489
198	14519	58443
199	14594	58377
200	14673	58327
201	14746	58254
202	14816	58171
203	14888	58094
204	14963	58030
205	15046	57994
206	15125	57943
207	15197	57867
